canonical,formula,natural,raw_ltl
"and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )",go through square that is not green to get the red rectangular,& F R G ! C
"and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )",go to red but not through green,& F R G ! C
"and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )",go through the room that is not green to get to the red room,& F R G ! C
"and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )",go to the red room but avoid the green room,& F R G ! C
"and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )",go to red without going to green,& F R G ! C
"and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )",enter the red room without crossing the green one,& F R G ! C
"and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )",enter the red room without entering a green room,& F R G ! C
"and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )",go to red room avoiding green,& F R G ! C
"and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )",walk to the red room while avoiding the green room,& F R G ! C
"and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the green room ) ) )",walk through any room except the green room to enter the red room,& F R G ! C
"and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )",go through square that is not green to get the yellow rectangular,& F Y G ! C
"and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )",go to yellow but not through green,& F Y G ! C
"and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )",go through the room that is not green to get to the yellow room,& F Y G ! C
"and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )",go to the yellow room but avoid the green room,& F Y G ! C
"and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )",go to yellow without going to green,& F Y G ! C
"and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )",enter the yellow room without crossing the green one,& F Y G ! C
"and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )",enter the yellow room without entering a green room,& F Y G ! C
"and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )",go to yellow room avoiding green,& F Y G ! C
"and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )",walk to the yellow room while avoiding the green room,& F Y G ! C
"and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the green room ) ) )",walk through any room except the green room to enter the yellow room,& F Y G ! C
"and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )",go to the red room but avoid the blue room,& F R G ! B
"and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )",go to red without going through blue,& F R G ! B
"and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )",enter the red room without passing the blue one,& F R G ! B
"and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )",avoid the blue room and move to the red room,& F R G ! B
"and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )",avoid the blue room to get to the red room,& F R G ! B
"and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )",pass through the non blue room to reach the red room,& F R G ! B
"and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )",avoid the blue room when proceeding to the red room,& F R G ! B
"and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )",go to the red room but avoid using the blue room,& F R G ! B
"and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )",go to the red room but don t go through the blue room,& F R G ! B
"and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the red room ) , globally ( not ( go to the blue room ) ) )",enter the room that isn t blue then go to the red room,& F R G ! B
"and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )",go to the yellow room but avoid the blue room,& F Y G ! B
"and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )",go to yellow without going through blue,& F Y G ! B
"and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )",enter the yellow room without passing the blue one,& F Y G ! B
"and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )",avoid the blue room and move to the yellow room,& F Y G ! B
"and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )",avoid the blue room to get to the yellow room,& F Y G ! B
"and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )",pass through the non blue room to reach the yellow room,& F Y G ! B
"and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )",avoid the blue room when proceeding to the yellow room,& F Y G ! B
"and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )",go to the yellow room but avoid using the blue room,& F Y G ! B
"and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )",go to the yellow room but don t go through the blue room,& F Y G ! B
"and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )","and ( finally ( go to the yellow room ) , globally ( not ( go to the blue room ) ) )",enter the room that isn t blue then go to the yellow room,& F Y G ! B
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )",go to the yellow room through the red or blue room,F & | R B F Y
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )",go to red or blue then yellow,F & | R B F Y
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )",avoid the yellow room and enter the yellow room through either the red or blue room,F & | R B F Y
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )",go to the blue room or the red room and head straight away to the yellow room avoiding the yellow room,F & | R B F Y
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )",go to the yellow room either through the red room or through the blue room only,F & | R B F Y
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )",go through either a red or blue room to enter the yellow room,F & | R B F Y
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )",go through the blue room or the red room to get to the yellow room,F & | R B F Y
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )",go thru the blue or red box to get to the yellow box,F & | R B F Y
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )",pass through either the blue or red room to reach the yellow room,F & | R B F Y
"finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )","finally ( and ( or ( go to the red room , go to the blue room ) , finally ( go to the yellow room ) ) )",move from the pink box into the yellow box by way of the blue or red box avoiding the yellow box,F & | R B F Y
"finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )",go to the green room through the yellow or blue room,F & | Y B F C
"finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )",go to yellow or blue then green,F & | Y B F C
"finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )",avoid the yellow room and enter the green room through either the yellow or blue room,F & | Y B F C
"finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )",go to the blue room or the yellow room and head straight away to the green room avoiding the yellow room,F & | Y B F C
"finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )",go to the green room either through the yellow room or through the blue room only,F & | Y B F C
"finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )",go through either a yellow or blue room to enter the green room,F & | Y B F C
"finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )",go through the blue room or the yellow room to get to the green room,F & | Y B F C
"finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )",go thru the blue or yellow box to get to the green box,F & | Y B F C
"finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )",pass through either the blue or yellow room to reach the green room,F & | Y B F C
"finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )","finally ( and ( or ( go to the yellow room , go to the blue room ) , finally ( go to the green room ) ) )",move from the yellow box into the green box by way of the blue or red box avoiding the yellow box,F & | Y B F C
